"Task ID","Task Name","Parent Task ID","Group","Deliverable Type","Start Date","Due Date","Duration (days)","Owner","Status","Priority","Dependencies","Notes"
"TASK043","Pilot imaging session #3 (AAV vs dye)","","IMAGING","Imaging Session","2026-03-08","2026-03-09","2","Aaron","Planned","High","TASK040","Acquire in vivo images for Mouse #3; final pilot dataset for Aim 1 validation"
"TASK044","Milestone: Pilot imaging datasets (Aim 1 validation) complete","","IMAGING","Milestone","2026-03-10","2026-03-10","0","Aaron","Planned","High","TASK043","Three pilot two-photon imaging datasets acquired (for proposal figures & validation):contentReference[oaicite:39]{index=39}"
"TASK045","Process pilot imaging data (registration & SNR analysis)","","IMAGING","Data Analysis","2026-02-23","2026-03-15","21","Aaron","Planned","Medium","TASK041","Register images, calculate SNR/contrast for each pilot dataset; refine imaging protocols:contentReference[oaicite:40]{index=40}"
"TASK046","Develop U-Net segmentation pipeline (initial version)","","IMAGING","Analysis Pipeline","2026-02-01","2026-04-01","60","Aaron","Planned","Medium","TASK032","Begin developing automated image segmentation (U-Net) for vascular features:contentReference[oaicite:41]{index=41}"
"TASK047","Optimize two-photon dual-color imaging setup","","IMAGING","System Optimization","2026-03-15","2026-04-30","47","Aaron","Planned","Medium","TASK044","Tune microscope optics (filters, detectors) for simultaneous dual-channel imaging:contentReference[oaicite:42]{index=42}"
"TASK048","Optimize laser speckle (LSCI) imaging integration","","IMAGING","System Optimization","2026-03-15","2026-04-30","47","Aaron","Planned","Medium","TASK044","Configure LSCI for cortical blood flow imaging in parallel with two-photon setup:contentReference[oaicite:43]{index=43}"
"TASK049","Deliver enhancer-based AAV for improved expression (Aim 2)","","IMAGING","AAV Production","2026-03-01","2026-05-01","62","Aaron","Planned","Medium","","Design and order enhanced-expression AAV (e.g., with tissue-specific enhancer) for dual-label imaging:contentReference[oaicite:44]{index=44}"
"TASK050","Milestone: Enhancer-based AAV vector delivered","","IMAGING","Milestone","2026-07-01","2026-07-01","0","Aaron","Planned","High","TASK049","Enhanced-label AAV received and ready for in vivo testing (Aim 2 continuation)"
"TASK051","Conduct systematic imaging comparisons (labeling methods)","","IMAGING","Imaging Experiment","2026-04-15","2026-05-31","47","Aaron","Planned","Medium","TASK047","Compare imaging depth, SNR, and contrast across labeling methods (AAV vs dye, etc.) in vivo:contentReference[oaicite:45]{index=45}"
"TASK052","Implement automated QC checks & data backup","","ACCOUNTABILITY","Automation","2026-04-01","2026-05-31","61","Aaron","Planned","Medium","TASK032","Deploy nightly backup scripts and quality control pipelines for imaging data:contentReference[oaicite:46]{index=46}:contentReference[oaicite:47]{index=47}"
"TASK053","Draft methodology paper on AAV-based imaging (Aim 1 results)","","PUBLICATION","Manuscript Draft","2026-04-01","2026-05-31","61","Aaron","Planned","Medium","TASK044","Prepare manuscript detailing AAV vascular imaging method and pilot results (Aim 1)"
"TASK054","Submit methodology paper to journal","","PUBLICATION","Manuscript Submitted","2026-06-01","2026-06-01","0","Aaron","Planned","High","TASK053","Submit Aim 1 imaging methodology paper for publication review"
"TASK055","Establish stroke model protocol (training & IACUC approval)","","IMAGING","Surgery Prep","2026-05-15","2026-06-05","22","Aaron","Planned","High","TASK051","Finalize stroke induction method (e.g., photothrombosis); ensure regulatory approvals in place:contentReference[oaicite:48]{index=48}"
"TASK056","Induce stroke in experimental cohort (surgery)","","IMAGING","Surgery","2026-06-06","2026-06-10","5","Aaron","Planned","High","TASK055","Perform stroke induction surgeries for animal cohort to initiate Aim 3 experiments:contentReference[oaicite:49]{index=49}"
"TASK057","Acute-phase post-stroke imaging (0–1 week post-stroke)","","IMAGING","Imaging Session","2026-06-15","2026-06-16","2","Aaron","Planned","High","TASK056","Two-photon + LSCI imaging sessions in acute phase (within first week after stroke):contentReference[oaicite:50]{index=50}"
"TASK058","Transition-phase imaging (2–4 weeks post-stroke)","","IMAGING","Imaging Session","2026-07-01","2026-07-02","2","Aaron","Planned","High","TASK057","Imaging sessions during subacute transition phase (~3 weeks post-stroke) to capture evolving changes:contentReference[oaicite:51]{index=51}"
"TASK059","Stabilization-phase imaging (5–8 weeks post-stroke)","","IMAGING","Imaging Session","2026-07-30","2026-07-31","2","Aaron","Planned","High","TASK058","Imaging sessions in early chronic phase (~7–8 weeks post-stroke) to observe vascular remodeling:contentReference[oaicite:52]{index=52}"
"TASK060","Extended chronic-phase imaging (~12 weeks post-stroke)","","IMAGING","Imaging Session","2026-08-25","2026-08-26","2","Aaron","Planned","Medium","TASK059","(If needed) Imaging at ~3 months post-stroke for long-term vascular remodeling data:contentReference[oaicite:53]{index=53}"
"TASK061","Refine ML segmentation & analysis pipeline (stroke data)","","IMAGING","Analysis Pipeline","2026-06-15","2026-08-31","78","Aaron","Planned","Medium","TASK046","Adapt and improve machine-learning segmentation for stroke dataset analyses:contentReference[oaicite:54]{index=54}"
"TASK062","Train surgical assistant in stroke surgery protocol","","ACCOUNTABILITY","Training","2026-07-15","2026-08-15","32","Aaron","Planned","Medium","TASK056","Mentor a junior lab member in cranial window & stroke induction procedures for continuity:contentReference[oaicite:55]{index=55}"
"TASK063","Milestone: All stroke imaging data acquired","","IMAGING","Milestone","2026-08-31","2026-08-31","0","Aaron","Planned","High","TASK060","Completion of planned longitudinal imaging sessions for stroke study (Aim 3):contentReference[oaicite:56]{index=56}"
"TASK064","Integrate LSCI flow data with two-photon results","","IMAGING","Data Analysis","2026-09-01","2026-09-30","30","Aaron","Planned","Medium","TASK057","Combine blood flow metrics (LSCI) with structural/functional two-photon data for unified analysis:contentReference[oaicite:57]{index=57}"
"TASK065","Network & neurovascular coupling analysis (post-stroke)","","IMAGING","Data Analysis","2026-10-01","2026-11-15","46","Aaron","Planned","High","TASK064","Quantify microvascular network changes and neurovascular coupling from stroke imaging data:contentReference[oaicite:58]{index=58}"
"TASK066","Prepare conference presentation (research results)","","PUBLICATION","Conference Presentation","2026-10-01","2026-11-01","32","Aaron","Planned","Medium","TASK065","Prepare talk/poster for conference (e.g., SPIE or neuroscience meeting) to present Year 5–6 results:contentReference[oaicite:59]{index=59}"
"TASK067","Draft second manuscript (Aim 2/3 research results)","","PUBLICATION","Manuscript Draft","2026-09-15","2026-11-30","77","Aaron","Planned","Medium","TASK065","Write second research paper (e.g., dual-color imaging platform and initial stroke findings)"
"TASK068","Submit second manuscript for publication","","PUBLICATION","Manuscript Submitted","2026-12-15","2026-12-15","0","Aaron","Planned","High","TASK067","Submit second major manuscript (Aim 2/3 results) to journal for review"
"TASK069","Admin: SPIE 2026 Annual Report & 2027 Grant Application","","ADMIN","Grant Application","2026-08-15","2026-12-01","108","Aaron","Planned","High","","Prepare and submit SPIE chapter report & grant proposal for 2027 funding (due Dec 1, 2026):contentReference[oaicite:60]{index=60}"
"TASK070","Compile 2026 chapter events, finances, member list","TASK069","ADMIN","Documentation","2026-08-15","2026-09-15","32","Aaron","Planned","Medium","","Gather all SPIE chapter activities of 2026 (meetings, outreach), member roster, and expense records"
"TASK071","Draft 2026 Annual Report & 2027 Activity Grant request","TASK069","ADMIN","Report Draft","2026-09-16","2026-10-31","46","Aaron","Planned","Medium","","Write chapter annual report and funding proposal for 2027 (activities, outcomes, budget)"
"TASK072","Finalize and submit SPIE report & grant (2026)","TASK069","ADMIN","Submission Deadline","2026-11-15","2026-12-01","17","Aaron","Planned","High","TASK071","Submit SPIE Annual Report and 2027 grant application by Dec 1, 2026:contentReference[oaicite:61]{index=61}"
"TASK073","SPIE chapter leadership transition to new officers","","ADMIN","Transition Plan","2026-07-01","2026-09-01","62","Aaron","Planned","Medium","","Document chapter activities and hand off responsibilities to incoming SPIE chapter officers:contentReference[oaicite:62]{index=62}:contentReference[oaicite:63]{index=63}"
"TASK074","Admin: Annual progress review (department form) 2026","","ADMIN","Progress Review Form","2026-09-01","2026-09-07","7","Aaron","Planned","High","","Complete 2026 graduate student progress review with advisor (due early September):contentReference[oaicite:64]{index=64}"
"TASK075","Finalize all quantitative analyses (imaging data)","","IMAGING","Data Analysis","2026-12-01","2027-01-31","61","Aaron","Planned","High","TASK065","Complete any remaining data quantification (e.g., vessel diameters, SNR vs depth, network metrics):contentReference[oaicite:65]{index=65}"
"TASK076","PhD Dissertation & Defense Completion","","DISSERTATION","Committee Milestone","2026-12-01","2027-08-15","257","Aaron","Planned","High","","Complete dissertation write-up, final defense, and graduation requirements by Summer 2027:contentReference[oaicite:66]{index=66}:contentReference[oaicite:67]{index=67}"
"TASK077","Circulate preliminary results (methods & data) to committee","TASK076","DISSERTATION","Committee Feedback","2027-02-01","2027-02-15","15","Aaron","Planned","Medium","TASK065","Share early dissertation sections (methods/results) with committee for formative feedback:contentReference[oaicite:68]{index=68}"
"TASK078","Draft Dissertation: Introduction & Background","TASK076","DISSERTATION","Dissertation Chapter","2026-12-15","2027-01-31","48","Aaron","Planned","Medium","","Write dissertation Introduction chapter (literature review, study rationale)"
"TASK079","Draft Dissertation: Aim 1 Methods & Results","TASK076","DISSERTATION","Dissertation Chapter","2027-01-01","2027-02-28","59","Aaron","Planned","Medium","","Write chapter detailing Aim 1 (AAV imaging) methods, experiments, and results"
"TASK080","Draft Dissertation: Aim 2 Methods & Results","TASK076","DISSERTATION","Dissertation Chapter","2027-01-15","2027-03-31","76","Aaron","Planned","Medium","","Write chapter detailing Aim 2 (dual-color imaging platform) methods and results"
"TASK081","Draft Dissertation: Aim 3 Methods & Results","TASK076","DISSERTATION","Dissertation Chapter","2027-02-01","2027-04-15","74","Aaron","Planned","Medium","","Write chapter detailing Aim 3 (stroke model imaging study) methods, data, and findings"
"TASK082","Draft Dissertation: Conclusions & Future Work","TASK076","DISSERTATION","Dissertation Chapter","2027-03-01","2027-04-30","61","Aaron","Planned","Medium","","Write final dissertation chapter (summary of findings, implications, and future directions)"
"TASK083","Milestone: Full dissertation draft completed","TASK076","DISSERTATION","Milestone","2027-05-01","2027-05-01","0","Aaron","Planned","High","TASK079,TASK080,TASK081,TASK082","Entire PhD dissertation compiled in complete draft form; ready for committee review:contentReference[oaicite:69]{index=69}"
"TASK084","Schedule final oral defense (coordinate committee & form)","TASK076","DISSERTATION","Committee Milestone","2027-04-01","2027-04-30","30","Aaron","Planned","High","","Finalize defense date with committee; submit Final Oral Exam scheduling form ≥1 month prior:contentReference[oaicite:70]{index=70}:contentReference[oaicite:71]{index=71}"
"TASK085","Update committee membership (if changes needed)","TASK076","ADMIN","Administrative Task","2027-05-01","2027-06-01","32","Aaron","Planned","Medium","","If any changes in committee, file official Committee Change form ≥30 days before defense:contentReference[oaicite:72]{index=72}:contentReference[oaicite:73]{index=73}"
"TASK086","Prepare professional development & IDP section (for defense)","TASK076","DISSERTATION","Defense Prep","2027-04-15","2027-05-15","31","Aaron","Planned","Medium","","Prepare Individual Development Plan summary and career development materials to present at defense:contentReference[oaicite:74]{index=74}"
"TASK087","Apply to graduate (Summer 2027 term)","TASK076","ADMIN","Administrative Deadline","2027-06-01","2027-06-01","0","Aaron","Planned","High","","Submit online graduation application at semester start (required for Summer 2027 graduation):contentReference[oaicite:75]{index=75}"
"TASK088","PhD Final Oral Defense (Dissertation Defense)","TASK076","DISSERTATION","Committee Milestone","2027-07-15","2027-07-15","0","Aaron","Planned","High","TASK084","Defend PhD dissertation in front of committee (must occur ≥2 weeks before final submission deadline):contentReference[oaicite:76]{index=76}"
"TASK089","Revise dissertation per committee feedback","TASK076","DISSERTATION","Document Revision","2027-07-16","2027-07-31","16","Aaron","Planned","High","TASK088","Incorporate committee's requested changes after defense; obtain final approval signatures"
"TASK090","Submit final dissertation to Graduate School","TASK076","DISSERTATION","Committee Milestone","2027-08-01","2027-08-01","0","Aaron","Planned","High","TASK089","Upload approved dissertation PDF and submit all required forms by Graduate School deadline (early Aug):contentReference[oaicite:77]{index=77}:contentReference[oaicite:78]{index=78}"
"TASK091","Complete exit paperwork and surveys","TASK076","ADMIN","Administrative Task","2027-08-01","2027-08-10","10","Aaron","Planned","Medium","TASK090","Submit any required exit surveys, departmental forms, and clearances before leaving program:contentReference[oaicite:79]{index=79}:contentReference[oaicite:80]{index=80}"
"TASK092","Finalize post-graduation plans (postdoc/job transition)","TASK076","ADMIN","Career Prep","2027-07-01","2027-08-15","45","Aaron","Planned","Low","","Arrange postdoctoral position or employment; prepare for transition after PhD completion:contentReference[oaicite:81]{index=81}"
"TASK093","Draft third manuscript (additional results)","","PUBLICATION","Manuscript Draft","2027-03-01","2027-05-31","92","Aaron","Planned","Low","TASK075","If possible, prepare an additional manuscript (e.g., comprehensive analysis or remaining experiments) for publication"
"TASK094","Submit third manuscript for publication","","PUBLICATION","Manuscript Submitted","2027-06-15","2027-06-15","0","Aaron","Planned","Low","TASK093","Submit additional manuscript (if drafted) to a journal for review (optional goal)"
"TASK095","Weekly 1:1 with advisor (Tues 3:30pm) – Spring 2026","","ACCOUNTABILITY","Meeting","2026-01-15","2026-05-15","121","Aaron","Planned","Medium","","Weekly progress meetings (Spring 2026 semester)"
"TASK096","Weekly 1:1 with advisor (Tues 3:30pm) – Fall 2026","","ACCOUNTABILITY","Meeting","2026-09-01","2026-12-15","106","Aaron","Planned","Medium","","Weekly progress meetings (Fall 2026 semester)"
"TASK097","Weekly 1:1 with advisor (Tues 3:30pm) – Spring 2027","","ACCOUNTABILITY","Meeting","2027-01-15","2027-05-15","120","Aaron","Planned","Medium","","Weekly progress meetings (Spring 2027 semester)"
"TASK098","Rig log & Slack updates (optical changes) – Year 6","","ACCOUNTABILITY","Safety Protocol","2026-01-01","2026-12-31","365","Aaron","Planned","Medium","","Continue logging laser/microscope changes and notifying lab throughout Year 6:contentReference[oaicite:82]{index=82}"
