Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Status,Notes,Category,Priority,Assignee,Resources
Aim 2 - Dual-channel Imaging Platform,T2.14,T2.13,Receive Enhanced AAV,2026-07-18,2026-07-22,Receive enhanced AAV vectors and prepare for in vivo validation,false,not started,Receive enhanced AAV vectors,Research Planning,High,Student,AAV Vendor
Aim 2 - Dual-channel Imaging Platform,T2.15,T2.11,Compare Imaging Methods,2026-05-23,2026-06-22,Compare imaging performance across different labeling methods in vivo,false,not started,Compare imaging methods in vivo,Data Collection,High,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.16,T2.15,Establish Stroke Model,2026-06-18,2026-06-23,Establish photothrombotic stroke model with IACUC approval,false,not started,Establish photothrombotic stroke model,Research Planning,High,Student,IACUC
Aim 3 - Stroke Study & Analysis,T2.17,T2.16,Induce Stroke,2026-06-26,2026-06-30,Induce photothrombotic stroke in study cohort,false,not started,Induce photothrombotic stroke,Research Execution,High,Student,Surgery Equipment
Aim 3 - Stroke Study & Analysis,T2.18,T2.17,Acute Phase Imaging,2026-07-08,2026-07-13,Acquire acute-phase imaging data (0-1 week post-stroke),false,not started,Acquire acute-phase imaging data,Data Collection,High,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.19,T2.18,Transition Phase Imaging,2026-07-20,2026-07-25,Acquire transition-phase imaging data (2-4 weeks post-stroke),false,not started,Acquire transition-phase imaging data,Data Collection,High,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.20,T2.19,Early Chronic Phase Imaging,2026-08-19,2026-08-24,Acquire early chronic-phase imaging data (5-8 weeks post-stroke),false,not started,Acquire early chronic-phase imaging data,Data Collection,High,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.21,T2.20,Extended Chronic Imaging,2026-09-16,2026-09-20,Acquire extended chronic-phase imaging data if required,false,not started,Acquire extended chronic-phase imaging data,Data Collection,Medium,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.22,T2.10,Adapt ML Pipeline,2026-07-14,2026-08-15,Adapt ML pipeline for stroke imaging data analysis,false,not started,Adapt ML pipeline for stroke data,Data Analysis,High,Student,ML Tools
Aim 3 - Stroke Study & Analysis,T2.23,T2.22,Optimize ML Pipeline,2026-08-18,2026-09-15,Optimize and validate ML segmentation performance on stroke data,false,not started,Optimize ML segmentation performance,Data Analysis,High,Student,ML Tools
Aim 3 - Stroke Study & Analysis,T2.24,T2.21,Complete Longitudinal Imaging,2026-09-21,2026-09-27,Complete comprehensive longitudinal stroke imaging study,false,not started,Complete longitudinal stroke imaging study,Data Collection,High,Student,Imaging Equipment
Aim 3 - Stroke Study & Analysis,T2.25,"T2.18,T2.19,T2.20,T2.21",Integrate LSCI Data,2026-09-26,2026-10-25,Integrate Laser Speckle Contrast Imaging flow data with two-photon data,false,not started,Integrate LSCI data with two-photon data,Data Analysis,High,Student,Analysis Software
Aim 3 - Stroke Study & Analysis,T2.26,T2.25,Analyze Stroke Data,2026-10-26,2026-12-09,Analyze neurovascular coupling and microvascular changes post-stroke,false,not started,Analyze neurovascular coupling changes,Data Analysis,High,Student,Analysis Software
Data Management & Analysis,T2.35,,Implement Automated Backups,2025-10-01,2025-12-31,Implement automated data backup and quality control system,false,not started,Implement automated data backup system,Data Management,Medium,Student,IT Infrastructure
