Phase,Task ID,Dependencies,Task,Start Date,End Date,Objective,Milestone,Status,Notes,Category,Priority,Assignee,Resources
PhD Proposal,T1.M1,"T1.9,T1.22",PhD Proposal Exam,2025-12-19,2025-12-22,Defend proposal in oral examination before committee and achieve candidacy status,Critical,not started,Final oral examination before committee,PhD Proposal,Critical,Student,Committee
PhD Proposal,T1.0,,Meet with Advisor - Finalize Timeline,2025-09-09,2025-09-13,Finalize revised timeline with advisor and ensure alignment with program requirements,false,not started,Coordinate with advisor on timeline adjustments,PhD Proposal,High,Student,Advisor
PhD Proposal,T1.1,T1.0,Draft Timeline v1,2025-08-29,2025-09-02,Draft comprehensive timeline for advisor review with printed and digital copies,false,not started,Create initial timeline draft for review,PhD Proposal,High,Student,Timeline Tools
PhD Proposal,T1.2,T1.0,Develop Specific Aims & Outline,2025-09-02,2025-09-08,Develop comprehensive proposal outline following BME format requirements for committee review,false,not started,Follow BME format requirements for proposal structure,PhD Proposal,High,Student,Proposal Templates
PhD Proposal,T1.3,T1.2,Submit Outline to Advisor,2025-09-05,2025-09-09,Submit detailed proposal outline to advisor for review and approval,false,not started,Get advisor approval on proposal structure,PhD Proposal,High,Student,Advisor
PhD Proposal,T1.4,,Define Committee & Schedule Exam,2025-09-10,2025-09-14,Identify committee members and confirm availability for oral exam scheduling,false,not started,Coordinate committee member availability,PhD Proposal,High,Student,Committee
PhD Proposal,T1.5,,Write Research Strategy,2025-09-15,2025-09-25,Write comprehensive Research Strategy section following BME format requirements,false,not started,Follow BME format for research strategy section,PhD Proposal,High,Student,Proposal Templates
PhD Proposal,T1.6,T1.0,Condense Proposal Draft,2025-10-14,2025-10-25,Write 12-page Research Strategy with preliminary data,false,not started,Create 12-page research strategy with preliminary data,PhD Proposal,High,Student,Proposal Templates
PhD Proposal,T1.6a,T1.4,Confirm Exam Date,2025-09-28,2025-10-05,Confirm oral exam date and ensure committee receives proposal with sufficient notice,false,not started,Ensure sufficient notice for committee review,PhD Proposal,High,Student,Committee
PhD Proposal,T1.7,T1.6,Finalize Proposal & Schedule,2025-10-28,2025-11-08,Finalize draft and schedule defense with committee,false,not started,Complete proposal finalization and scheduling,PhD Proposal,High,Student,Committee
PhD Proposal,T1.7a,T1.2,Write Specific Aims & Research Strategy,2025-10-07,2025-10-13,Write comprehensive Specific Aims and Research Strategy sections for PhD proposal,false,not started,Complete specific aims and research strategy sections,PhD Proposal,High,Student,Proposal Templates
PhD Proposal,T1.8,T1.7,Send Proposal to Committee,2025-11-12,2025-12-01,Distribute proposal to committee,false,not started,Distribute proposal to all committee members,PhD Proposal,High,Student,Committee
PhD Proposal,T1.8a,,Write Methods & Timeline,2025-11-11,2025-11-18,Write detailed Methods and project timeline sections for proposal,false,not started,Complete methods and timeline sections,PhD Proposal,High,Student,Proposal Templates
PhD Proposal,T1.9,T1.8,Create Proposal Presentation,2025-12-01,2025-12-16,Create a presentation for oral defense,false,not started,Develop comprehensive oral defense presentation,PhD Proposal,High,Student,Presentation Tools
PhD Proposal,T1.9a,"T1.8a,T1.14",Complete Proposal Document,2025-12-01,2025-12-07,Complete comprehensive proposal document with proper formatting for committee review,High,not started,Finalize complete proposal document with formatting,PhD Proposal,Critical,Student,Proposal Templates
PhD Proposal,T1.10,T1.M1,Submit Final Proposal Document,2025-12-17,2025-12-20,Submit Final Proposal Document to Achieve Candidacy,false,not started,Submit final proposal to achieve candidacy status,PhD Proposal,Critical,Student,Committee
PhD Proposal,T1.10a,"T1.9a,T1.6a",Email Proposal to Committee,2025-11-28,2025-12-05,Distribute final proposal to committee members with sufficient advance notice,High,not started,Email final proposal with sufficient advance notice,PhD Proposal,High,Student,Committee
PhD Proposal,T1.11,T1.10,Create Presentation,2025-12-08,2025-12-18,Create comprehensive presentation and practice oral exam delivery,false,not started,Develop and practice oral exam presentation,PhD Proposal,High,Student,Presentation Tools
PhD Proposal,T1.12,T1.M1,Incorporate Revisions,2025-12-23,2026-01-06,Address committee feedback and obtain final approval for proposal,false,not started,Address committee feedback and obtain approval,PhD Proposal,High,Student,Committee
Laser System,T1.13,,Align Seed Laser,2025-09-02,2025-09-06,Align seed laser to achieve >=30 mW output in fiber core for pre-pump optimization,false,not started,Align laser for optimal output power,Equipment Setup,High,Student,Laser Equipment
Laser System,T1.14,T1.13,Restore Amplified Output,2025-09-09,2025-09-16,Restore amplified laser output to >=130 mW benchmark performance level,false,not started,Restore laser to benchmark performance,Equipment Setup,High,Student,Laser Equipment
Laser System,T1.15,T1.14,Verify Pulse Duration,2025-10-01,2025-10-07,Verify pulse compression to <=200 fs duration and document specifications,false,not started,Verify and document pulse duration specifications,Equipment Setup,High,Student,Laser Equipment
Microscope Setup,T1.16,T1.15,Align Imaging System,2025-10-08,2025-10-14,Align imaging system using USAF target for optimal resolution validation,false,not started,Align imaging system for optimal resolution,Equipment Setup,High,Student,Microscope Equipment
Microscope Setup,T1.17,T1.16,Confirm Live Imaging Requirements,2025-10-15,2025-10-21,Validate laser and optics system meets live imaging performance requirements,false,not started,Validate live imaging performance requirements,Equipment Setup,High,Student,Microscope Equipment
Microscope Setup,T1.18,T1.16,Align Laser Through Microscope,2025-09-26,2025-09-30,Align laser beam through microscope optical system,false,not started,Align laser through microscope optics,Equipment Setup,High,Student,Microscope Equipment
Microscope Setup,T1.19,T1.18,Image USAF Target,2025-10-01,2025-10-05,Image USAF target to validate optical resolution performance,false,not started,Image USAF target for resolution validation,Equipment Setup,High,Student,Microscope Equipment
Microscope Setup,T1.20,T1.19,Acquire Preliminary In Vivo Images,2025-10-07,2025-10-11,Acquire preliminary in vivo imaging data with 6-panel tiled configuration,false,not started,Acquire preliminary in vivo imaging data,Equipment Setup,High,Student,Microscope Equipment
Committee Management,T1.21,,Submit Annual Progress Report,2025-09-03,2025-09-07,Submit annual progress review report to department,false,not started,Submit annual progress report to department,Administrative,Medium,Student,Department
Committee Management,T1.22,,Update Committee Membership,2025-09-13,2025-09-23,Update committee membership and file necessary change forms if required,false,not started,Update committee membership if needed,Administrative,Medium,Student,Committee
Committee Management,T1.23,,Confirm Doctoral Candidacy,2025-09-06,2025-09-30,Verify and confirm doctoral candidacy status,false,not started,Verify doctoral candidacy status,Administrative,High,Student,Department
