Task ID,Task Name,Parent Task ID,Category,Start Date,Due Date,Dependencies,Description
BN,Dissertation draft complete,BG,DISSERTATION,2027-06-19,2027-06-30,"BI,BJ,BK",Complete PhD dissertation draft compiled and ready for committee review.
BS,PhD Defense,BG,DISSERTATION,2027-07-17,2027-07-20,"BN,CA",Defend dissertation in oral exam.
BT,Revise dissertation,BG,DISSERTATION,2027-07-21,2027-08-03,BS,Incorporate committee feedback and revisions after defense. Obtain final approval signatures.
BU,Submit dissertation,BG,DISSERTATION,2027-08-05,2027-08-11,BT,Upload approved dissertation PDF and submit all required forms to Graduate School by deadline.
BV,Complete TA requirement,,ADMIN,2025-09-04,2026-08-31,,Serve as Teaching Assistant at least once before graduation (BME program requirement).
BW,Update committee membership,,ADMIN,2025-09-13,2025-09-23,D,Update committee membership if needed and file 'Request for Change in Doctoral Committee' form if required.
BX,Advance to candidacy,,ADMIN,2025-09-06,2025-09-30,,Ensure doctoral candidacy status is confirmed (should already be completed by 5th year).
BY1,Maintain continuous registration - Fall 2025,,ADMIN,2025-09-01,2025-12-31,,Maintain full-time registration (9+ hours) for Fall 2025 semester.
BY2,Maintain continuous registration - Spring 2026,,ADMIN,2026-01-01,2026-05-31,BY1,Maintain full-time registration (9+ hours) for Spring 2026 semester.
BY3,Maintain continuous registration - Fall 2026,,ADMIN,2026-09-01,2026-12-31,BY2,Maintain full-time registration (9+ hours) for Fall 2026 semester.
BY4,Maintain continuous registration - Spring 2027,,ADMIN,2027-01-01,2027-05-31,BY3,Maintain full-time registration (9+ hours) for Spring 2027 semester.
BY5,Maintain continuous registration - Summer 2027,,ADMIN,2027-06-01,2027-08-31,BY4,Maintain full-time registration (9+ hours) for Summer 2027 semester.
BZ,Apply for graduation,,ADMIN,2027-01-01,2027-01-15,,Submit graduation application at beginning of final semester (required for summer 2027 graduation).
CA,Request final oral exam,,ADMIN,2027-06-01,2027-06-15,,Submit 'Request for Final Oral Exam' form at least 2 weeks before defense date.
CB,SPIE chapter activities,,ADMIN,2025-09-08,2026-12-31,,Plan and execute SPIE Student Chapter events and submit annual report by Dec 1, 2026.
CC1,Equipment maintenance log - Q1 2026,,EQUIPMENT,2025-09-01,2025-12-31,,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC2,Equipment maintenance log - Q2 2026,,EQUIPMENT,2026-01-01,2026-03-31,CC1,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC3,Equipment maintenance log - Q3 2026,,EQUIPMENT,2026-04-01,2026-06-30,CC2,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC4,Equipment maintenance log - Q4 2026,,EQUIPMENT,2026-07-01,2026-09-30,CC3,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC5,Equipment maintenance log - Q1 2027,,EQUIPMENT,2026-10-01,2026-12-31,CC4,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC6,Equipment maintenance log - Q2 2027,,EQUIPMENT,2027-01-01,2027-03-31,CC5,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC7,Equipment maintenance log - Q3 2027,,EQUIPMENT,2027-04-01,2027-06-30,CC6,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CC8,Equipment maintenance log - Q4 2027,,EQUIPMENT,2027-07-01,2027-08-31,CC7,Maintain detailed rig log for any alignment changes and communicate modifications to colleagues.
CD1,Data backup system implementation,,RESEARCH,2025-10-01,2025-12-31,,Implement automated quality control checks and nightly backups as outlined in proposal.
CD2,Data backup system maintenance,,RESEARCH,2026-01-01,2027-08-31,CD1,Maintain and monitor automated quality control checks and nightly backups.
CE,Surgical training,,RESEARCH,2025-10-01,2026-06-01,,Maintain proficiency with cranial window surgeries and train others; ensure IACUC compliance.
CF,Lab culture responsibilities,,ADMIN,2025-09-10,2027-08-31,,Be punctual to meetings and injections; provide regular updates to advisor; take ownership of microscope.
